"","cycle","state","candidate","posteriormean","posteriorstd","lower95","upper95","median","win","vote","pmean","party"
"35","2020","Delaware","CWitzke",0.349870724136546,0.110111914836963,0.196162962923146,0.539129655531431,0.378635863931419,0.069,0.389516957862282,0.37516030807364,-1
"36","2020","Delaware","Coons",0.56890837020375,0.110111914836963,0.460870344468569,0.803837037076854,0.621364136068581,0.931,0.610483042137718,0.62483969192636,1
"37","2020","Maine","Collins",0.451120996511848,0.0205612192192405,0.421252594699602,0.529869648113968,0.476494005686254,0.198666666666667,0.542336548767417,0.476285158687364,-1
"38","2020","Maine","Gideon",0.491306501326583,0.0205710517403225,0.470130351886032,0.578747405300398,0.523505994313746,0.801333333333333,0.457663451232583,0.523714841312636,1
"39","2020","Massachusetts","Connor",0.403256951114516,0.110111914836963,0.219957239237642,0.532748647953871,0.389877045317513,0.0646666666666667,0.336693548387097,0.386562802914306,-1
"40","2020","Massachusetts","Markey",0.613990828620344,0.110111914836963,0.467251352046129,0.780042760762358,0.610122954682487,0.935333333333333,0.663306451612903,0.613437197085694,1
"41","2020","Michigan","James",0.426229841837349,0.0170884006266702,0.398860761777077,0.505500929876609,0.45075850802779,0.0363333333333333,0.491853360488798,0.45090974887983,-1
"42","2020","Michigan","Peters",0.518441005416447,0.0171216477515461,0.494499070123391,0.601139238222923,0.54924149197221,0.963666666666667,0.508146639511202,0.54909025112017,1
"43","2020","Minnesota","Lewis",0.422610572398648,0.0211272299020254,0.395435231468087,0.50647134473788,0.451819604940961,0.0473333333333333,0.471289274106175,0.451830754651934,-1
"44","2020","Minnesota","Smith",0.519858434525395,0.0211814802225991,0.49352865526212,0.604564768531913,0.548180395059039,0.952666666666667,0.528710725893824,0.548169245348066,1
"45","2020","Mississippi","Espy",0.452510271767155,0.0301016876639559,0.39871813329239,0.522268205684165,0.460183557226373,0.108333333333333,0.431632653061225,0.460189163389194,1
"46","2020","Mississippi","HydeSmith",0.50877897553463,0.0301274277517645,0.477731794315835,0.60128186670761,0.539816442773627,0.891666666666667,0.568367346938776,0.539810836610806,-1
"47","2020","Montana","Bullock",0.463851437767182,0.0275435177320026,0.405507147124202,0.525525672084408,0.466633905487931,0.139666666666667,0.45,0.466357141850606,1
"48","2020","Montana","Daines",0.502170298654031,0.0275501452658165,0.474474327915592,0.594492852875798,0.533366094512069,0.860333333333333,0.55,0.533642858149394,-1
"49","2020","Nebraska","Janicek",0.316987069133051,0.110111914836963,0.1526857902178,0.491455678604136,0.33568879565576,0.0213333333333333,0.277901785714286,0.330722245917377,1
"50","2020","Nebraska","Sasse",0.608697510611042,0.110111914836963,0.508544321395864,0.8473142097822,0.66431120434424,0.978666666666667,0.722098214285714,0.669277754082623,-1
"51","2020","New Jersey","Booker",0.578252521572855,0.0273926032969415,0.577349301512052,0.700290904536552,0.635989928493387,1,0.580448065173116,0.636568660757924,1
"52","2020","New Jersey","Mehta",0.333309583285352,0.0271018833083918,0.299709095463448,0.422650698487948,0.364010071506613,0,0.419551934826884,0.363431339242076,-1
"53","2020","New Mexico","Lujan",0.523447605949952,0.0376000526939919,0.479572803751102,0.6171545193842,0.54829880183856,0.918,0.530800821355236,0.548566367383971,1
"54","2020","New Mexico","Ronchetti",0.437652547607892,0.0375673721978435,0.3828454806158,0.520427196248898,0.45170119816144,0.082,0.469199178644764,0.451433632616029,-1
"55","2020","Rhode Island","Reed",0.595748507138339,0.110111914836963,0.493173979023824,0.855247166989796,0.656155413829365,0.970666666666667,0.665,0.659255883621118,1
"56","2020","Rhode Island","Waters",0.321806355468641,0.110111914836963,0.144752833010204,0.506826020976176,0.343844586170635,0.0293333333333333,0.335,0.340744116378882,-1
"57","2020","Tennessee","Bradshaw",0.37028682649039,0.0411691204786254,0.298771101541956,0.446486537513443,0.37343334968114,0.000666666666666667,0.361767728674203,0.373409461078401,1
"58","2020","Tennessee","Hagerty",0.588551706089552,0.0412207204412336,0.553513462486557,0.701228898458044,0.62656665031886,0.999333333333333,0.638232271325796,0.626590538921599,-1
"59","2020","Texas","Cornyn",0.506164889000928,0.0201187094136502,0.48554140822155,0.596176395279809,0.540902074865082,0.921,0.550308008213552,0.540547557636374,-1
"60","2020","Texas","Hegar",0.443200252495808,0.0201073056377103,0.403823604720191,0.51445859177845,0.459097925134918,0.079,0.449691991786448,0.459452442363626,1
"61","2020","Virginia","Gade",0.411196174463374,0.0269883306652372,0.363704105317501,0.48147328418962,0.422310460461463,0.004,0.44,0.422257395616911,-1
"62","2020","Virginia","Warner",0.577339739714748,0.0270139175998149,0.51852671581038,0.636295894682499,0.577689539538537,0.996,0.56,0.577742604383089,1
"63","2020","West Virginia","Capito",0.576185636157249,0.0725024871440017,0.530312472160001,0.764387756663444,0.64743778169051,0.994333333333333,0.722507708119219,0.645812992702192,-1
"64","2020","West Virginia","Swearengin",0.347001560859687,0.0723366584300761,0.235612243336556,0.469687527839999,0.35256221830949,0.00566666666666667,0.277492291880781,0.354187007297808,1
"65","2020","Wyoming","David",0.235419967752447,0.110111914836963,0.0478608740441306,0.396594496520026,0.231549821137221,0,0.269,0.228231122997458,1
"66","2020","Wyoming","Lummis",0.693985048819075,0.110111914836963,0.603405503479974,0.952139125955869,0.768450178862779,1,0.731,0.771768877002542,-1
